"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"XTEXVA01","Exports in goods (value)","CAN","Canada","CXML","US-Dollar converted","Q","Quarterly","2017-Q2","Q2-2017","USD","US Dollar","9","Billions",,,106.7446,,
"XTEXVA01","Exports in goods (value)","CAN","Canada","CXML","US-Dollar converted","Q","Quarterly","2017-Q3","Q3-2017","USD","US Dollar","9","Billions",,,101.7371,,
"XTEXVA01","Exports in goods (value)","CAN","Canada","CXML","US-Dollar converted","Q","Quarterly","2017-Q4","Q4-2017","USD","US Dollar","9","Billions",,,108.8515,,
"XTEXVA01","Exports in goods (value)","CAN","Canada","CXML","US-Dollar converted","Q","Quarterly","2018-Q1","Q1-2018","USD","US Dollar","9","Billions",,,108.57,,
"XTEXVA01","Exports in goods (value)","CAN","Canada","CXML","US-Dollar converted","Q","Quarterly","2018-Q2","Q2-2018","USD","US Dollar","9","Billions",,,116.7977,,
"XTEXVA01","Exports in goods (value)","CAN","Canada","CXML","US-Dollar converted","Q","Quarterly","2018-Q3","Q3-2018","USD","US Dollar","9","Billions",,,113.5756,,
"XTEXVA01","Exports in goods (value)","CAN","Canada","CXML","US-Dollar converted","Q","Quarterly","2018-Q4","Q4-2018","USD","US Dollar","9","Billions",,,111.8281,,
"XTEXVA01","Exports in goods (value)","CAN","Canada","CXML","US-Dollar converted","Q","Quarterly","2019-Q1","Q1-2019","USD","US Dollar","9","Billions",,,105.5895,,
"XTEXVA01","Exports in goods (value)","CAN","Canada","CXML","US-Dollar converted","Q","Quarterly","2019-Q2","Q2-2019","USD","US Dollar","9","Billions",,,116.9095,,
"XTEXVA01","Exports in goods (value)","CAN","Canada","CXML","US-Dollar converted","Q","Quarterly","2019-Q3","Q3-2019","USD","US Dollar","9","Billions",,,111.6722,,
"XTEXVA01","Exports in goods (value)","CAN","Canada","CXML","US-Dollar converted","Q","Quarterly","2019-Q4","Q4-2019","USD","US Dollar","9","Billions",,,112.8232,,
"XTEXVA01","Exports in goods (value)","CAN","Canada","CXML","US-Dollar converted","Q","Quarterly","2020-Q1","Q1-2020","USD","US Dollar","9","Billions",,,103.4956,,
"XTIMVA01","Imports in goods (value)","CAN","Canada","CXML","US-Dollar converted","Q","Quarterly","2016-Q4","Q4-2016","USD","US Dollar","9","Billions",,,98.612,,
"XTIMVA01","Imports in goods (value)","CAN","Canada","CXML","US-Dollar converted","Q","Quarterly","2017-Q1","Q1-2017","USD","US Dollar","9","Billions",,,101.5482,,
"XTIMVA01","Imports in goods (value)","CAN","Canada","CXML","US-Dollar converted","Q","Quarterly","2017-Q2","Q2-2017","USD","US Dollar","9","Billions",,,110.5514,,
"XTIMVA01","Imports in goods (value)","CAN","Canada","CXML","US-Dollar converted","Q","Quarterly","2017-Q3","Q3-2017","USD","US Dollar","9","Billions",,,110.3509,,
"XTIMVA01","Imports in goods (value)","CAN","Canada","CXML","US-Dollar converted","Q","Quarterly","2017-Q4","Q4-2017","USD","US Dollar","9","Billions",,,110.6827,,
"XTIMVA01","Imports in goods (value)","CAN","Canada","CXML","US-Dollar converted","Q","Quarterly","2018-Q1","Q1-2018","USD","US Dollar","9","Billions",,,111.4042,,
"XTIMVA01","Imports in goods (value)","CAN","Canada","CXML","US-Dollar converted","Q","Quarterly","2018-Q2","Q2-2018","USD","US Dollar","9","Billions",,,121.0658,,
"XTIMVA01","Imports in goods (value)","CAN","Canada","CXML","US-Dollar converted","Q","Quarterly","2018-Q3","Q3-2018","USD","US Dollar","9","Billions",,,115.4913,,
"XTIMVA01","Imports in goods (value)","CAN","Canada","CXML","US-Dollar converted","Q","Quarterly","2018-Q4","Q4-2018","USD","US Dollar","9","Billions",,,111.836,,
"XTIMVA01","Imports in goods (value)","CAN","Canada","CXML","US-Dollar converted","Q","Quarterly","2019-Q1","Q1-2019","USD","US Dollar","9","Billions",,,111.2023,,
"XTIMVA01","Imports in goods (value)","CAN","Canada","CXML","US-Dollar converted","Q","Quarterly","2019-Q2","Q2-2019","USD","US Dollar","9","Billions",,,117.2366,,
"XTIMVA01","Imports in goods (value)","CAN","Canada","CXML","US-Dollar converted","Q","Quarterly","2019-Q3","Q3-2019","USD","US Dollar","9","Billions",,,114.4255,,
"XTIMVA01","Imports in goods (value)","CAN","Canada","CXML","US-Dollar converted","Q","Quarterly","2019-Q4","Q4-2019","USD","US Dollar","9","Billions",,,110.4087,,
"XTIMVA01","Imports in goods (value)","CAN","Canada","CXML","US-Dollar converted","Q","Quarterly","2020-Q1","Q1-2020","USD","US Dollar","9","Billions",,,104.0574,,
"XTEXVA01","Exports in goods (value)","FRA","France","CXML","US-Dollar converted","Q","Quarterly","2016-Q4","Q4-2016","USD","US Dollar","9","Billions",,,127.5087,,
"XTEXVA01","Exports in goods (value)","FRA","France","CXML","US-Dollar converted","Q","Quarterly","2017-Q1","Q1-2017","USD","US Dollar","9","Billions",,,124.8032,,
"XTEXVA01","Exports in goods (value)","FRA","France","CXML","US-Dollar converted","Q","Quarterly","2017-Q2","Q2-2017","USD","US Dollar","9","Billions",,,132.0315,,
"XTEXVA01","Exports in goods (value)","FRA","France","CXML","US-Dollar converted","Q","Quarterly","2017-Q3","Q3-2017","USD","US Dollar","9","Billions",,,131.0672,,
"XTEXVA01","Exports in goods (value)","FRA","France","CXML","US-Dollar converted","Q","Quarterly","2017-Q4","Q4-2017","USD","US Dollar","9","Billions",,,147.1295,,
"XTEXVA01","Exports in goods (value)","FRA","France","CXML","US-Dollar converted","Q","Quarterly","2018-Q1","Q1-2018","USD","US Dollar","9","Billions",,,149.7604,,
"XTEXVA01","Exports in goods (value)","FRA","France","CXML","US-Dollar converted","Q","Quarterly","2018-Q2","Q2-2018","USD","US Dollar","9","Billions",,,146.2367,,
"XTEXVA01","Exports in goods (value)","FRA","France","CXML","US-Dollar converted","Q","Quarterly","2018-Q3","Q3-2018","USD","US Dollar","9","Billions",,,136.1535,,
"XTEXVA01","Exports in goods (value)","FRA","France","CXML","US-Dollar converted","Q","Quarterly","2018-Q4","Q4-2018","USD","US Dollar","9","Billions",,,149.3671,,
"XTEXVA01","Exports in goods (value)","FRA","France","CXML","US-Dollar converted","Q","Quarterly","2019-Q1","Q1-2019","USD","US Dollar","9","Billions",,,145.2974,,
"XTEXVA01","Exports in goods (value)","FRA","France","CXML","US-Dollar converted","Q","Quarterly","2019-Q2","Q2-2019","USD","US Dollar","9","Billions",,,146.1156,,
"XTEXVA01","Exports in goods (value)","FRA","France","CXML","US-Dollar converted","Q","Quarterly","2019-Q3","Q3-2019","USD","US Dollar","9","Billions",,,133.7073,,
"XTEXVA01","Exports in goods (value)","FRA","France","CXML","US-Dollar converted","Q","Quarterly","2019-Q4","Q4-2019","USD","US Dollar","9","Billions",,,144.58,,
"XTEXVA01","Exports in goods (value)","FRA","France","CXML","US-Dollar converted","Q","Quarterly","2020-Q1","Q1-2020","USD","US Dollar","9","Billions",,,129.904,,
"XTIMVA01","Imports in goods (value)","FRA","France","CXML","US-Dollar converted","Q","Quarterly","2016-Q4","Q4-2016","USD","US Dollar","9","Billions",,,143.6532,,
"XTIMVA01","Imports in goods (value)","FRA","France","CXML","US-Dollar converted","Q","Quarterly","2017-Q1","Q1-2017","USD","US Dollar","9","Billions",,,149.7646,,
